WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
4490,,,,51.579948,-113.354785,5,20,SW,30,24,4,,,,5-20-030-24-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4491,,,,51.943789,-113.483229,2,28,SE,34,25,4,,,,2-28-034-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4493,,,,51.515753,-113.428673,16,27,NE,29,25,4,,,,16-27-029-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4495,,,,52.735662,-113.173766,10,30,NE,43,22,4,,,,10-30-043-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4496,,,,51.767783,-113.242983,1,30,SE,32,23,4,,,,1-30-032-23-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4497,,,,51.966649,-113.44825,13,35,NW,34,25,4,,,,13-35-034-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4498,,,,52.051954,-113.617711,14,35,NW,35,26,4,,,,14-35-035-26-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4499,,,,52.778716,-113.137799,11,9,NW,44,22,4,,,,11-09-044-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4500,,,,52.547445,-112.974556,13,21,NW,41,21,4,,,,13-21-041-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4501,,,,51.998349,-113.44045,2,13,SE,35,25,4,,,,2-13-035-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4502,,,,52.097693,-113.083792,15,16,NE,36,22,4,,,,15-16-036-22-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4503,,,,52.145727,-112.884369,4,1,SW,37,21,4,,,,4-01-037-21-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
4504,,,,51.55784,-113.398186,12,12,NW,30,25,4,,,,12-12-030-25-W4,,metres,2011-10-20 10:38:47.710000000,CONVERSION
