BACTERIO_DETAILS_ID,WELL_TEST_ID,LAB_SAMPLE_NUMBER,LAB_NAME,LAB_LOCATION,CREATE_TIMESTAMP,CREATE_USERID
1064275,694,504706-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064279,354,504709-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064283,2310,504700-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064287,355,504700-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064291,496,D55048,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064295,748,499519-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064299,396,499517-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064303,645,506937-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064307,2367,506937-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064311,749,507389-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064315,397,507385-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064319,891,507392-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064323,892,507392-3,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064327,100,507392-2,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064331,356,D64873,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064335,55,509207-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064339,2368,511016-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064343,252,510359-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064347,792,D86457,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064351,793,D86377,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064355,597,508862-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064359,840,D96874,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064363,695,D96667,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064367,305,D95699,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064371,696,D96895,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064375,446,511750-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064379,989,489918-2,Norwest Labs,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064383,546,489918-1,Norwest Labs,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064387,2213,L461289-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064391,697,L433643-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064395,253,L434685-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064399,893,L433327-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064403,497,L430687-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064407,56,L431652-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064411,306,L431652-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064415,398,L432814-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064419,2265,L434685-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064423,547,L435849-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064427,598,L435849-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064431,101,L432808-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064435,57,L434190-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064439,399,L434190-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064443,2311,L434693-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064447,102,L435309-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064451,58,L435308-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064455,698,L437901-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064459,59,L435849-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064463,498,L440974-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064467,794,L441367-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064471,599,L440974-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064479,400,L446635-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064483,357,L445235-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064487,795,L448146-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064491,201,L446139-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064495,103,L445699-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064499,841,L444685-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064503,358,L446139-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064507,750,L455195-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064511,499,L445708-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064515,600,L447181-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064519,307,L446168-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064523,699,L446634-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064527,152,L447180-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064531,751,L446615-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064535,359,L447525-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064539,60,L450386-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064543,104,L447182-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064547,61,L447750-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064551,360,L450437-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064555,2266,L450011-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064559,2312,L450120-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064563,401,L450011-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064567,2369,L450437-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064571,796,L451231-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064575,361,L448584-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064579,797,L450120-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064583,842,L448587-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064587,2313,L444667-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064591,308,L448052-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064595,895,L449333-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064599,202,L448985-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064603,62,L448981-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064607,2214,L448985-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064615,990,L450757-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064619,8,L450757-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064623,105,L450793-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064631,700,L452303-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064635,843,L450793-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064639,255,L451218-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064643,362,L451755-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064647,752,L451755-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064651,363,L460006-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064655,2370,L463456-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064659,500,L432249-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064663,153,L432249-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064667,402,514161-1,Bodycote Testing Group,Edmonton,2011-10-20 10:38:47.710000000,CONVERSION
1064671,753,108735-3,KaizenLAB,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064675,844,E03642,Maxxam Analytics,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064679,601,L455186-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064683,63,L454819-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064687,203,L454819-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064691,106,L455199-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064695,991,L455202-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064699,403,L455199-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064703,646,L450857-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064707,364,L453780-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064711,992,L454841-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064715,154,L455191-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064719,798,L454845-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064723,701,L454845-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064727,447,L451232-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064731,9,L455203-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064735,2371,L450440-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064739,896,L456163-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064743,204,L451216-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064747,107,L451775-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064751,2314,L456639-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064755,309,L455641-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064759,845,L457055-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064763,647,L455590-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064767,897,L455590-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064771,108,L456639-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064775,702,L455564-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064779,846,L452614-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064783,703,L455564-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064791,648,L452310-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064795,205,L454836-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064799,206,L456129-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064803,207,L456166-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064807,155,L454338-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064811,602,L456161-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064815,257,L456166-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064819,2372,L456129-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064823,258,L452310-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064827,799,L454338-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064831,448,L453343-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064835,548,L451769-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064839,549,L449485-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064843,10,L457079-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064847,800,L452745-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064851,156,L453345-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064855,847,L457056-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064859,649,L456589-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064863,801,L456601-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064867,404,L457077-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064871,704,L457408-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064875,2268,L460005-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064879,993,L457407-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064883,365,L456631-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064887,848,L457342-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064891,310,L457008-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064899,64,L459214-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064903,2215,L459183-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064907,650,L458519-3,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064911,311,L458877-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064915,603,L458482-1,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
1064919,754,L458519-2,ALS Environmental,Calgary,2011-10-20 10:38:47.710000000,CONVERSION
