geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-112.602602 51.708215),5102,9180,51.708215,-112.602602,1196999,657.0,35.0,0.005,0.01,8.68,730.0,852.0,0.79,9.0,4.4,0.005,0.01,121.0,3.0,328.0,0.7,0.2,0.05,0.01,92.0
POINT (-112.603212 51.707483),3318,1291,51.707483,-112.603212,1070547,638.0,24.4,0.003,0.016,8.63,729.0,833.0,0.92,8.1,4.3,0.004,0.03,124.0,2.9,317.0,0.5,0.2,0.04,0.016,90.0
POINT (-112.603182 51.707433),7530,7650,51.707433,-112.603182,1193751,620.0,28.0,0.003,0.003,8.7,700.0,840.0,0.9,9.5,6.6,0.004,0.06,130.0,3.4,330.0,0.6,0.2,0.06,0.003,95.0
POINT (-112.597938 51.692547),2230,1300,51.692547,-112.597938,1071423,978.0,20.9,0.004,0.043,8.45,1150.0,1420.0,0.36,21.0,5.4,0.012,0.19,239.0,7.2,576.0,1.0,0.6,0.21,0.047,103.0
POINT (-112.578355 51.694835),2366,1878,51.694835,-112.578355,1070507,936.0,12.7,0.003,0.152,8.4,1120.0,1270.0,0.44,20.0,22.2,0.006,0.12,161.0,6.7,518.0,1.0,0.7,0.13,0.152,101.0
POINT (-112.574059 51.696205),2815,4224,51.696205,-112.574059,1070511,95.0,30.8,0.005,0.272,8.55,1100.0,1230.0,0.53,18.0,7.2,0.008,0.29,152.0,5.9,491.0,0.9,0.8,0.16,0.277,97.0
POINT (-112.573283 51.71615),8904,12352,51.71615,-112.573283,1175983,882.0,60.0,0.06,0.05,8.62,929.0,1037.0,0.75,27.0,4.0,0.01,0.04,70.0,9.5,420.0,2.5,0.8,0.06,0.05,100.0
POINT (-112.57387 51.71589),15650,15650,51.71589,-112.57387,1218900,840.0,38.0,0.02,0.05,8.49,946.0,1020.0,1.0,11.0,3.3,0.01,0.03,88.9,4.4,420.0,1.0,0.4,0.1,0.07,99.0
POINT (-112.552717 51.72215),15890,15890,51.72215,-112.552717,1219134,906.0,15.0,0.003,0.003,8.42,1080.0,1080.0,0.72,11.0,32.0,0.005,0.06,63.0,3.9,430.0,0.8,0.3,0.06,0.003,94.0
POINT (-112.552734 51.722027),4677,1119,51.722027,-112.552734,1075535,905.0,23.0,0.005,0.01,8.51,1060.0,1070.0,0.68,12.0,33.4,0.005,0.05,47.0,4.3,439.0,0.9,0.4,0.1,0.02,97.0
POINT (-112.59193 51.73516),15519,15519,51.73516,-112.59193,1218772,1160.0,6.0,0.02,0.05,8.2,1420.0,1590.0,0.59,28.0,2.9,0.01,0.02,246.0,9.8,632.0,1.0,0.9,0.4,0.07,99.0
POINT (-112.591823 51.735127),15982,15982,51.735127,-112.591823,1219226,1060.0,12.0,0.02,0.05,8.33,1270.0,1500.0,0.5,20.0,3.1,0.05,0.1,220.0,8.0,594.0,4.0,1.0,0.2,0.07,101.0
POINT (-112.591911 51.735166),10410,10301,51.735166,-112.591911,1192967,1090.0,19.0,0.02,0.05,8.36,1290.0,1470.0,0.56,23.0,3.0,0.008,0.05,204.0,8.0,598.0,1.1,0.7,0.1,0.07,101.0
POINT (-112.609518 51.776341),15475,15475,51.776341,-112.609518,1218729,770.0,19.0,0.005,0.01,8.44,900.0,1130.0,0.56,16.0,52.0,0.005,0.05,164.0,5.7,447.0,0.8,0.6,0.06,0.01,98.0
POINT (-112.604071 51.779152),11534,3748,51.779152,-112.604071,1182759,795.0,41.0,0.01,0.06,8.67,886.0,1170.0,0.53,18.0,48.8,0.005,0.03,188.0,6.2,448.0,0.7,0.6,0.1,0.07,94.0
POINT (-112.60705 51.782132),6760,7949,51.782132,-112.60705,1197599,850.0,0.9,0.003,0.003,8.3,1000.0,1300.0,0.42,23.0,51.0,0.017,0.4,240.0,7.8,460.0,1.0,1.0,0.7,0.003,88.0
POINT (-112.604641 51.77195),1063,5840,51.77195,-112.604641,1182755,685.0,16.0,0.005,0.01,8.47,803.0,1130.0,0.49,18.0,6.8,0.008,0.01,286.0,6.0,417.0,0.9,0.6,0.3,0.01,93.0
POINT (-112.60471 51.77198),15827,15827,51.77198,-112.60471,1219072,697.0,8.0,0.005,0.01,8.34,833.0,1180.0,0.56,19.0,7.2,0.008,0.01,301.0,6.3,448.0,1.0,0.7,0.1,0.01,97.0
POINT (-112.565181 51.770891),1377,6752,51.770891,-112.565181,1176491,656.0,1.0,0.88,0.14,8.27,800.0,1118.0,0.2,99.0,3.8,0.13,0.64,281.0,31.3,400.0,2.3,5.0,1.07,1.02,102.0
POINT (-112.565099 51.776099),10521,12591,51.776099,-112.565099,1197003,571.0,26.0,0.005,0.05,8.43,643.0,1180.0,0.16,213.0,8.8,0.457,0.01,407.0,64.1,337.0,3.2,12.7,0.05,0.05,94.0
POINT (-112.55769 51.79529),11410,11746,51.79529,-112.55769,1208713,350.0,21.0,0.003,0.052,8.76,380.0,496.0,0.14,36.0,7.0,0.01,3.1,81.0,6.8,180.0,2.9,4.7,130.0,0.052,100.0
POINT (-112.618956 51.774218),9868,7021,51.774218,-112.618956,1183391,768.0,6.0,0.02,0.05,8.24,936.0,1450.0,0.3,60.0,10.4,0.05,0.1,400.0,18.0,560.0,4.0,4.0,0.3,0.07,110.0
POINT (-112.733063 51.788251),2340,4221,51.788251,-112.733063,1070327,719.0,10.9,0.003,0.015,8.38,856.0,1520.0,0.09,62.0,12.2,0.02,0.01,520.0,19.7,530.0,1.9,3.1,1.3,0.018,95.0
POINT (-112.723289 51.788242),2903,2955,51.788242,-112.723289,1159191,725.0,0.5,0.292,0.101,8.02,885.0,1610.0,0.07,87.0,11.9,0.053,0.01,570.0,29.0,561.0,1.4,3.5,0.06,0.393,98.0
POINT (-112.7186 51.786162),15983,15983,51.786162,-112.7186,1219227,712.0,6.0,0.02,0.09,8.08,868.0,1740.0,0.2,100.0,12.0,0.05,0.28,644.0,40.0,615.0,4.0,5.0,0.9,0.09,104.0
POINT (-112.717467 51.78455),6540,12538,51.78455,-112.717467,1191799,720.0,0.0,0.2,0.2,8.13,878.0,1708.0,0.05,145.0,11.6,0.05,0.23,638.0,47.2,570.0,2.3,6.5,0.48,0.2,99.0
POINT (-112.723189 51.755514),11375,7011,51.755514,-112.723189,1182747,1000.0,6.0,0.02,0.05,8.09,1220.0,1770.0,0.2,180.0,8.1,0.05,1.45,455.0,58.0,642.0,4.0,8.0,2.0,0.07,106.0
POINT (-112.723333 51.75555),1555,5187,51.75555,-112.723333,1175995,1067.0,0.0,0.06,0.05,8.19,1301.0,1729.0,0.06,189.0,8.2,0.03,0.74,424.0,62.3,584.0,2.4,8.1,0.98,0.05,96.0
POINT (-112.720467 51.7661),8544,10288,51.7661,-112.720467,1191795,866.0,8.0,0.2,0.2,8.35,1036.0,1506.0,0.33,31.0,17.8,0.03,0.05,365.0,7.1,591.0,1.5,3.2,0.36,0.2,104.0
POINT (-112.715056 51.764589),5582,5505,51.764589,-112.715056,1194083,894.0,32.0,0.02,0.05,8.58,1020.0,1390.0,0.3,10.0,16.7,0.015,0.01,266.0,3.5,568.0,0.8,0.7,6.89,0.07,104.0
POINT (-112.70396 51.769027),15476,15476,51.769027,-112.70396,1218730,1080.0,45.0,0.02,0.05,8.64,1230.0,1600.0,0.42,29.0,18.8,0.01,0.02,305.0,9.6,604.0,1.0,1.0,0.15,0.07,94.0
POINT (-112.6977 51.768167),10689,5485,51.768167,-112.6977,1191803,904.0,0.0,0.7,1.0,8.28,1102.0,1506.0,0.39,37.0,15.1,0.01,0.04,351.0,11.7,580.0,1.5,2.0,0.09,1.7,101.0
POINT (-112.697714 51.768211),4683,1457,51.768211,-112.697714,1075567,918.0,25.0,0.02,0.07,8.48,1070.0,1600.0,0.3,30.0,18.3,0.05,0.1,366.0,9.0,609.0,4.0,1.0,0.2,0.07,102.0
POINT (-112.692147 51.754459),9348,1581,51.754459,-112.692147,1070423,100.0,0.5,0.003,0.019,8.21,1220.0,1760.0,0.13,130.0,10.9,0.042,0.01,511.0,39.8,584.0,2.1,8.2,0.46,0.019,91.0
POINT (-112.696246 51.738333),2967,4223,51.738333,-112.696246,1070479,984.0,0.5,0.003,0.017,8.08,1200.0,1890.0,0.12,150.0,11.4,0.019,0.01,609.0,43.1,618.0,2.3,10.9,0.41,0.017,92.0
POINT (-112.692213 51.725361),2549,1379,51.725361,-112.692213,1070527,717.0,0.5,0.003,0.006,8.11,875.0,1530.0,0.07,200.0,10.4,0.101,11.8,511.0,64.5,492.0,3.0,10.0,16.2,0.006,103.0
POINT (-112.686844 51.678372),2964,1676,51.678372,-112.686844,1070379,786.0,21.4,0.004,0.004,8.48,915.0,1140.0,0.33,38.0,6.2,0.143,16.8,218.0,11.9,417.0,1.3,2.0,20.5,0.008,96.0
POINT (-112.696902 51.694738),15984,15984,51.694738,-112.696902,1219228,630.0,12.0,0.003,0.007,8.4,740.0,1000.0,0.55,20.0,14.0,0.009,0.06,240.0,6.9,380.0,0.9,0.6,0.11,0.007,95.0
POINT (-112.696902 51.694755),2968,1637,51.694755,-112.696902,1070503,648.0,14.6,0.003,0.023,8.45,760.0,1030.0,0.55,13.0,15.7,0.02,0.06,245.0,5.0,378.0,1.0,1.0,0.08,0.023,90.0
POINT (-112.703799 51.700779),770,1742,51.700779,-112.703799,1071495,557.0,0.5,0.005,0.094,8.02,680.0,2090.0,0.17,250.0,16.4,0.255,0.01,1030.0,73.6,619.0,3.1,15.2,0.79,0.099,96.0
POINT (-112.708 51.708544),15114,15114,51.708544,-112.708,1218372,630.0,1.8,0.01,0.01,8.34,770.0,1400.0,0.51,36.0,20.0,0.004,0.06,470.0,13.0,460.0,1.2,1.2,0.11,0.02,91.0
POINT (-112.71796 51.725437),2364,1480,51.725437,-112.71796,1070495,923.0,0.5,0.003,0.022,8.19,1130.0,1290.0,0.16,99.0,11.1,0.029,0.36,231.0,32.6,455.0,2.0,4.3,0.39,0.022,93.0
POINT (-112.724111 51.748556),15477,15477,51.748556,-112.724111,1218731,831.0,6.0,0.005,0.01,7.7,1010.0,1340.0,0.07,693.0,11.0,0.312,0.39,364.0,209.0,214.0,4.1,41.3,0.41,0.01,95.0
POINT (-112.744367 51.736733),1554,5186,51.736733,-112.744367,1175991,787.0,1.0,0.8,0.2,8.17,956.0,993.0,0.12,210.0,12.0,0.06,0.61,114.0,67.9,313.0,3.0,9.8,4.01,1.0,97.0
POINT (-112.744522 51.734229),10538,6420,51.734229,-112.744522,1197595,790.0,0.5,0.003,0.003,8.1,960.0,960.0,0.13,120.0,14.0,0.052,0.78,87.0,40.0,340.0,1.6,4.2,6.2,0.003,96.0
POINT (-112.763156 51.744146),3371,975,51.744146,-112.763156,1072651,848.0,6.0,0.005,0.01,8.09,1030.0,995.0,0.26,96.0,10.8,0.104,0.2,74.0,24.9,366.0,2.2,8.2,0.2,0.02,95.0
POINT (-112.762998 51.732582),2831,1111,51.732582,-112.762998,1072655,872.0,6.0,0.005,0.01,8.19,1060.0,1120.0,0.18,93.0,14.0,0.306,1.01,122.0,27.3,422.0,2.2,6.0,3.2,0.02,100.0
POINT (-112.743626 51.718872),4682,983,51.718872,-112.743626,1075563,815.0,6.0,0.005,0.01,8.01,994.0,1150.0,0.11,238.0,11.3,0.193,0.78,201.0,65.6,359.0,3.5,18.0,3.1,0.02,99.0
POINT (-112.744064 51.718938),15453,15453,51.718938,-112.744064,1218707,801.0,6.0,0.005,0.01,7.99,977.0,1110.0,0.15,231.0,10.4,0.189,0.59,192.0,64.2,340.0,3.2,17.1,0.75,0.01,96.0
POINT (-112.746297 51.700245),9631,2104,51.700245,-112.746297,1159567,780.0,8.0,0.005,0.01,8.36,934.0,1060.0,0.18,36.6,12.3,0.011,0.09,165.0,12.4,401.0,1.2,1.4,0.3,0.02,94.0
POINT (-112.763016 51.681616),1780,5115,51.681616,-112.763016,1183791,822.0,0.0,0.2,0.2,8.12,1002.0,1098.0,0.26,216.0,16.2,0.38,0.04,153.0,49.5,360.0,3.0,22.4,0.47,0.2,100.0
POINT (-112.76718 51.67872),3074,2866,51.67872,-112.76718,1159543,826.0,6.0,0.005,0.01,8.09,1010.0,1070.0,0.23,212.0,16.0,0.415,0.09,144.0,48.3,342.0,2.9,22.2,0.1,0.02,96.0
POINT (-112.794958 51.708117),1806,402,51.708117,-112.794958,1065027,885.0,6.0,0.005,0.01,8.32,1070.0,1140.0,0.18,39.0,13.2,0.005,0.36,150.0,11.0,426.0,1.6,2.8,1.5,0.02,91.0
POINT (-112.794927 51.708038),9686,8039,51.708038,-112.794927,1192947,933.0,6.0,0.005,0.01,8.3,1140.0,1160.0,0.16,37.0,13.6,0.005,0.71,136.0,10.8,435.0,1.3,2.5,0.81,0.01,90.0
POINT (-112.795019 51.718405),1650,4492,51.718405,-112.795019,1176379,890.0,6.0,0.005,0.01,8.26,1080.0,1120.0,0.2,99.0,12.6,0.021,0.95,129.0,24.4,408.0,1.9,9.2,3.2,0.013,95.0
POINT (-112.795033 51.718419),9209,9088,51.718419,-112.795033,1203801,882.0,6.0,0.02,0.02,8.16,1070.0,1100.0,0.25,96.0,13.1,0.02,0.9,129.0,24.0,396.0,1.8,8.9,1.34,0.005,93.0
POINT (-112.780816 51.736822),8523,2004,51.736822,-112.780816,1173931,893.0,6.0,0.005,0.01,8.27,1090.0,1230.0,0.17,120.0,11.7,0.0149,1.49,200.0,33.1,436.0,2.5,8.5,2.1,0.02,96.0
POINT (-112.780845 51.736812),10493,5703,51.736812,-112.780845,1177455,878.0,14.0,0.007,0.03,8.45,1040.0,1060.0,0.28,89.0,20.0,0.095,0.48,104.0,21.2,375.0,2.8,8.8,7.3,0.04,90.0
POINT (-112.793412 51.75002),15547,15547,51.75002,-112.793412,1218800,877.0,15.0,0.02,0.12,8.4,1040.0,1180.0,0.3,89.0,20.4,0.056,0.02,164.0,21.1,439.0,2.2,8.9,5.3,0.12,97.0
POINT (-112.793423 51.750171),3702,54,51.750171,-112.793423,1064503,910.0,6.0,0.005,0.11,8.08,1110.0,1180.0,0.2,62.0,18.4,0.027,0.33,146.0,16.4,445.0,1.5,5.2,8.4,0.11,95.0
POINT (-112.791171 51.776724),12263,9603,51.776724,-112.791171,1211765,924.0,43.0,0.015,0.113,8.7,1040.0,1120.0,0.22,46.0,22.0,0.021,0.1,99.0,14.0,429.0,1.2,2.7,0.2,0.113,92.6
POINT (-112.783418 51.768695),12243,9694,51.768695,-112.783418,1211685,891.0,5.0,0.015,0.113,8.2,1090.0,1110.0,0.23,118.0,17.0,0.048,0.1,97.0,37.0,418.0,6.0,6.3,0.4,0.113,101.0
POINT (-112.783221 51.776207),12242,10592,51.776207,-112.783221,1211681,858.0,10.0,0.015,0.113,8.4,1030.0,1090.0,0.23,46.0,21.0,0.025,0.1,94.0,14.6,440.0,6.0,2.4,7.6,0.113,101.0
POINT (-112.788772 51.767013),12245,11763,51.767013,-112.788772,1211693,899.0,6.0,0.015,0.113,8.3,1080.0,1100.0,0.07,69.0,21.0,0.029,0.1,73.0,21.2,439.0,6.0,4.0,0.2,0.113,102.0
POINT (-112.785933 51.762624),3205,5071,51.762624,-112.785933,1178419,922.0,6.0,0.005,0.01,8.35,1110.0,1110.0,0.21,19.0,17.0,0.006,0.2,74.3,6.4,460.0,1.2,0.7,0.17,0.02,100.0
POINT (-112.78631 51.760811),4202,3683,51.760811,-112.78631,1176739,924.0,22.0,0.005,0.05,8.48,1080.0,1110.0,0.26,21.0,16.8,0.01,0.55,72.1,6.4,454.0,1.1,1.1,0.8,0.05,99.0
POINT (-112.786894 51.762007),3851,6384,51.762007,-112.786894,1174783,914.0,41.0,0.005,0.01,8.61,1030.0,1070.0,0.23,16.0,17.5,0.005,0.1,73.2,5.2,427.0,1.3,0.7,0.1,0.02,93.0
POINT (-112.786925 51.762061),3204,3056,51.762061,-112.786925,1178407,912.0,10.0,0.005,0.04,8.37,1090.0,1110.0,0.27,16.0,16.9,0.006,0.03,76.1,5.4,464.0,1.0,0.6,1.1,0.04,101.0
POINT (-112.788162 51.762204),3207,3768,51.762204,-112.788162,1178435,932.0,6.0,0.005,0.01,8.32,1140.0,1110.0,0.29,26.0,18.1,0.006,0.25,37.4,8.4,453.0,1.3,1.3,0.6,0.02,99.0
POINT (-112.788117 51.762168),3852,5037,51.762168,-112.788117,1174787,925.0,20.0,0.007,0.03,8.5,1090.0,1080.0,0.23,24.0,17.0,0.008,0.18,63.0,7.3,433.0,1.5,1.3,0.7,0.04,95.0
POINT (-112.787596 51.760333),8430,12378,51.760333,-112.787596,1178415,874.0,18.0,0.005,0.01,8.48,1030.0,1050.0,0.59,12.0,21.8,0.005,0.05,63.1,4.0,434.0,0.9,0.4,0.1,0.02,98.0
POINT (-112.785234 51.761816),3202,3408,51.761816,-112.785234,1178391,920.0,6.0,0.005,0.01,8.32,1120.0,1120.0,0.18,19.0,16.9,0.013,0.13,78.4,6.5,462.0,4.5,0.8,2.3,0.02,100.0
POINT (-112.767952 51.764594),12259,6933,51.764594,-112.767952,1211749,863.0,5.0,0.015,0.113,8.2,1050.0,1280.0,0.09,158.0,15.0,0.041,0.1,243.0,47.6,443.0,2.5,9.5,1.9,0.113,99.1
POINT (-112.766119 51.778902),12260,12870,51.778902,-112.766119,1211753,867.0,42.0,0.015,0.113,8.7,972.0,1240.0,0.23,12.0,20.0,0.005,0.1,224.0,4.1,470.0,0.8,0.5,0.1,0.113,91.8
POINT (-112.791434 51.801279),5783,5899,51.801279,-112.791434,1207285,908.0,37.6,0.05,0.07,8.57,1030.0,1120.0,0.1,16.4,15.3,0.0057,0.078,109.0,5.45,440.0,0.93,0.68,0.306,0.071,93.5
POINT (-112.791554 51.786008),5547,9873,51.786008,-112.791554,1196171,914.0,24.0,0.05,0.05,8.48,1070.0,1170.0,0.3,18.0,21.0,0.025,0.15,113.0,5.86,476.0,2.5,0.8,0.07,0.07,98.9
POINT (-112.793038 51.788342),5548,7867,51.788342,-112.793038,1196175,935.0,23.0,0.05,0.05,8.48,1090.0,1170.0,0.3,17.0,20.0,0.025,0.15,99.9,5.4,479.0,2.5,0.82,0.13,0.07,99.4
POINT (-112.790395 51.851544),1705,3848,51.851544,-112.790395,1183387,660.0,12.0,0.003,0.003,8.4,780.0,1600.0,0.46,36.0,22.0,0.021,0.06,580.0,13.0,600.0,0.8,1.1,0.08,0.003,100.0
POINT (-112.779743 51.853531),6956,9774,51.853531,-112.779743,1201131,730.0,20.0,0.003,0.005,8.5,850.0,1300.0,0.48,23.0,97.0,0.009,0.06,300.0,7.9,480.0,1.0,0.8,0.06,0.005,90.0
POINT (-112.779831 51.853566),6955,12637,51.853566,-112.779831,1201127,710.0,12.0,0.003,0.003,8.4,850.0,1400.0,0.41,49.0,66.0,0.009,0.15,430.0,15.0,470.0,1.5,2.7,0.2,0.003,86.0
POINT (-112.762989 51.827167),2767,3520,51.827167,-112.762989,1160143,888.0,0.5,0.003,0.003,8.24,1080.0,1320.0,0.53,40.0,19.2,0.008,0.06,279.0,12.6,474.0,1.4,2.0,0.13,0.003,89.0
POINT (-112.753224 51.845576),5390,8040,51.845576,-112.753224,1192995,630.0,0.5,0.003,0.003,8.2,770.0,1700.0,0.05,110.0,27.0,0.084,0.92,660.0,38.0,550.0,1.8,4.2,0.89,0.003,97.0
POINT (-112.743475 51.851052),15995,15995,51.851052,-112.743475,1219239,670.0,0.5,0.003,0.003,8.25,818.0,1790.0,0.27,48.0,34.1,0.015,0.01,670.0,16.1,660.0,1.6,2.0,0.02,0.003,105.0
POINT (-112.744032 51.851918),9647,3274,51.851918,-112.744032,1178555,685.0,10.8,0.003,0.003,8.39,813.0,1690.0,0.49,26.0,37.3,0.015,0.64,630.0,9.0,596.0,1.2,1.0,3.36,0.003,95.0
POINT (-112.76564 51.847521),5389,4633,51.847521,-112.76564,1192991,740.0,22.0,0.008,0.051,8.5,860.0,1800.0,0.39,30.0,110.0,0.008,0.06,530.0,9.9,660.0,1.0,1.2,0.15,0.059,100.0
POINT (-112.771467 51.853935),7034,7683,51.853935,-112.771467,1193555,690.0,13.0,0.039,0.16,8.4,810.0,1700.0,0.62,19.0,250.0,0.006,0.06,560.0,6.7,640.0,0.7,0.7,1.6,0.2,110.0
POINT (-112.770998 51.854913),1686,3921,51.854913,-112.770998,1183275,650.0,11.0,0.054,0.003,8.4,770.0,1400.0,0.41,33.0,30.0,0.017,0.07,530.0,11.0,480.0,1.0,1.1,0.11,0.054,87.0
POINT (-112.771955 51.853406),11661,4386,51.853406,-112.771955,1183271,650.0,0.5,0.003,0.003,8.3,790.0,1400.0,0.18,70.0,39.0,0.026,1.2,450.0,21.0,440.0,1.9,4.0,0.42,0.003,89.0
POINT (-112.770193 51.865851),9876,9720,51.865851,-112.770193,1183807,718.0,24.0,0.02,0.09,8.5,826.0,1580.0,0.56,31.0,51.9,0.05,0.1,504.0,10.0,587.0,4.0,1.0,0.1,0.09,99.0
POINT (-112.770279 51.865823),9122,5523,51.865823,-112.770279,1196007,711.0,9.0,0.05,0.05,8.36,849.0,1600.0,0.6,28.0,56.0,0.025,0.15,515.0,9.56,593.0,2.5,1.12,0.087,0.07,99.3
POINT (-112.744219 51.859395),7703,10229,51.859395,-112.744219,1204513,736.0,19.5,0.05,0.05,8.48,858.0,1670.0,0.48,26.2,44.8,0.007,0.274,617.0,8.71,558.0,1.11,1.07,0.359,0.07,90.0
POINT (-112.745714 51.872107),5393,11465,51.872107,-112.745714,1196023,687.0,7.0,0.05,0.05,8.33,825.0,1720.0,0.6,30.0,28.0,0.025,0.24,655.0,9.66,613.0,2.5,1.44,2.63,0.07,96.6
POINT (-112.75624 51.882038),9613,8221,51.882038,-112.75624,1204125,710.0,18.4,0.05,0.159,8.47,829.0,1360.0,0.79,26.9,84.9,0.0113,0.03,323.0,7.78,509.0,1.6,1.81,0.086,0.159,100.0
POINT (-112.75684 51.88374),14011,14011,51.88374,-112.75684,1216173,674.0,19.0,0.015,0.113,8.52,783.0,1390.0,0.7,18.0,60.0,0.005,0.1,378.0,6.4,543.0,1.1,0.6,0.1,0.01,104.0
POINT (-112.75446 51.88247),14012,14012,51.88247,-112.75446,1216174,687.0,43.0,0.015,0.113,8.76,750.0,1390.0,0.82,18.0,55.0,0.005,0.1,382.0,6.3,531.0,1.2,0.6,0.1,0.01,101.0
POINT (-112.754337 51.882417),9614,8561,51.882417,-112.754337,1204129,700.0,19.7,0.05,0.05,8.5,813.0,1350.0,1.08,17.2,64.9,0.005,0.049,390.0,5.75,462.0,1.03,0.7,0.065,0.071,90.0
POINT (-112.754338 51.882427),8832,9372,51.882427,-112.754338,1181359,690.0,11.0,0.003,0.11,8.4,820.0,1300.0,1.0,25.0,60.0,0.007,0.06,350.0,9.0,470.0,0.9,0.7,0.06,0.11,93.0
POINT (-112.744238 51.889905),7827,12776,51.889905,-112.744238,1204581,854.0,11.2,0.05,0.05,8.28,1020.0,2460.0,0.6,60.3,19.4,0.0154,0.27,1010.0,20.9,896.0,1.98,1.96,0.442,0.071,100.0
POINT (-112.744249 51.889807),1692,8617,51.889807,-112.744249,1183311,880.0,0.5,0.005,0.015,8.2,1100.0,2300.0,0.54,87.0,21.0,0.021,0.21,890.0,31.0,870.0,2.0,2.2,1.2,0.02,110.0
POINT (-112.768242 51.881284),1225,5853,51.881284,-112.768242,1183835,613.0,9.0,0.02,0.05,8.37,729.0,1620.0,0.2,60.0,20.0,0.05,0.1,647.0,18.0,563.0,4.0,0.05,1.9,0.07,97.0
POINT (-112.768185 51.881312),7392,9346,51.881312,-112.768185,1197943,570.0,4.6,0.003,0.022,8.3,680.0,1400.0,0.13,61.0,12.0,0.014,0.34,620.0,20.0,450.0,1.7,2.8,0.6,0.022,85.0
POINT (-112.768443 51.881244),13994,13994,51.881244,-112.768443,1216158,554.0,11.0,0.015,0.113,8.43,654.0,1560.0,0.05,78.0,11.0,0.018,0.2,657.0,24.8,526.0,2.6,3.8,16.7,0.01,97.7
POINT (-112.769663 51.881226),1781,3948,51.881226,-112.769663,1183795,756.0,6.0,0.02,0.07,8.34,922.0,1700.0,0.4,36.0,17.3,0.05,0.1,600.0,12.0,619.0,4.0,2.0,0.3,0.07,98.0
POINT (-112.769402 51.881221),10634,7882,51.881221,-112.769402,1197939,730.0,0.5,0.003,0.003,8.2,890.0,1600.0,0.52,21.0,17.0,0.004,0.3,590.0,7.1,580.0,0.8,0.7,0.21,0.003,95.0
POINT (-112.768766 51.881329),14013,14013,51.881329,-112.768766,1216175,719.0,20.0,0.015,0.113,8.53,837.0,1640.0,0.24,31.0,16.0,0.005,0.2,566.0,10.3,610.0,1.8,1.2,0.4,0.01,102.0
POINT (-112.767897 51.880273),7391,7247,51.880273,-112.767897,1197935,730.0,15.0,0.003,0.017,8.4,860.0,1800.0,0.49,34.0,26.0,0.014,0.06,660.0,11.0,650.0,1.1,1.4,0.06,0.017,99.0
POINT (-112.767865 51.880218),14014,14014,51.880218,-112.767865,1216176,714.0,20.0,0.015,0.113,8.52,831.0,1740.0,0.31,44.0,26.0,0.006,0.1,689.0,14.1,583.0,1.5,2.2,0.2,0.01,89.5
POINT (-112.767784 51.878512),9877,10376,51.878512,-112.767784,1183839,760.0,10.0,0.02,0.05,8.34,905.0,1820.0,0.4,40.0,24.3,0.05,0.1,666.0,13.0,662.0,4.0,0.05,0.2,0.07,98.0
POINT (-112.767162 51.893404),8215,8310,51.893404,-112.767162,1198211,701.0,22.0,0.015,0.022,8.5,811.0,1710.0,0.47,25.0,20.2,0.004,0.1,625.0,8.2,630.0,1.3,1.0,0.2,0.022,101.0
POINT (-112.767596 51.892614),7817,11101,51.892614,-112.767596,1204541,699.0,17.9,0.05,0.05,8.48,816.0,1660.0,0.55,23.8,17.6,0.005,0.122,608.0,7.93,606.0,1.17,0.97,0.181,0.071,100.0
POINT (-112.767843 51.892602),7398,4981,51.892602,-112.767843,1197979,671.0,17.0,0.015,0.022,8.5,785.0,1640.0,0.44,38.0,14.0,0.014,0.1,623.0,11.5,586.0,1.5,2.3,0.1,0.022,98.0
POINT (-112.782107 51.883223),11664,7210,51.883223,-112.782107,1183315,750.0,14.0,0.003,0.003,8.4,890.0,1600.0,0.45,22.0,15.0,0.005,0.06,530.0,7.7,550.0,0.8,0.8,0.06,0.003,93.0
POINT (-112.781785 51.883182),7815,11100,51.883182,-112.781785,1204533,743.0,27.8,0.05,0.05,8.49,851.0,1570.0,0.49,19.8,16.3,0.0058,0.049,537.0,6.65,560.0,1.06,0.77,0.074,0.071,90.0
POINT (-112.778175 51.87822),9650,3771,51.87822,-112.778175,1178691,517.0,63.0,0.009,0.017,8.78,453.0,860.0,1.19,7.81,72.4,0.005,0.165,114.0,2.8,303.0,0.7,0.2,0.176,0.017,95.0
POINT (-112.788 51.870976),11691,6104,51.870976,-112.788,1209037,623.0,6.0,0.05,0.05,8.32,748.0,1380.0,0.15,55.3,15.6,0.0169,0.097,483.0,18.1,481.0,1.63,2.45,0.115,0.071,96.1
POINT (-112.788015 51.870976),1222,3949,51.870976,-112.788015,1183811,631.0,19.0,0.005,0.01,8.46,730.0,1430.0,0.16,62.0,16.4,0.018,0.15,504.0,20.2,507.0,2.0,2.7,0.1,0.02,99.0
POINT (-112.788342 51.899737),860,9374,51.899737,-112.788342,1181679,690.0,3.0,0.02,0.12,8.3,830.0,2300.0,0.52,47.0,11.0,0.011,0.22,1100.0,16.0,810.0,1.5,1.7,0.61,0.12,98.0
