geometry,WELL_ID,WELL_TEST_ID,LATTITUDE,LONGITUDE,WQUAL_DETAILS_ID,total alkalinity_value,carbonate_value,nitrite as nitrogen_value,nitrate as nitrogen_value,ph_value,bicarbonate_value,total dissolved solids_value,fluoride_value,total hardness_value,chloride_value,manganese_value,iron_value,sulphate_value,calcium_value,sodium_value,potassium_value,magnesium_value,iron (total)_value,nitrite + nitrate as nitrogen_value,ionic balance_value
POINT (-113.261525 52.464112),9816,9030,52.464112,-113.261525,1206105,537.0,5.0,0.05,0.05,8.01,655.0,688.0,0.16,437.0,0.83,0.601,0.805,128.0,105.0,86.9,2.95,42.4,10.1,0.071,93.7
POINT (-113.257751 52.464309),7881,12463,52.464309,-113.257751,1216911,495.0,6.0,0.005,0.1,7.98,603.0,628.0,0.12,524.0,2.0,0.005,0.01,110.0,107.0,45.8,3.4,62.2,0.1,0.1,103.0
POINT (-113.257752 52.46431),11601,8236,52.46431,-113.257752,1205909,518.0,5.0,0.05,0.1,7.91,632.0,643.0,0.11,505.0,2.16,0.005,0.03,114.0,101.0,49.6,3.7,61.3,0.041,0.1,100.0
POINT (-113.266944 52.444027),5713,4748,52.444027,-113.266944,1217032,534.0,33.0,0.005,0.01,8.68,584.0,877.0,1.93,10.0,203.0,0.007,0.16,2.0,3.3,346.0,0.9,0.3,0.3,0.02,92.0
POINT (-113.266472 52.442055),7641,6032,52.442055,-113.266472,1217034,703.0,39.0,0.005,0.01,8.67,777.0,754.0,1.64,10.0,17.2,0.006,0.11,7.4,3.5,303.0,1.0,0.5,0.3,0.02,91.0
POINT (-113.280145 52.433576),14520,14520,52.433576,-113.280145,1217782,515.0,10.0,0.2,0.1,7.7,628.0,881.0,0.5,380.0,6.98,0.15,0.017,371.0,77.5,152.0,2.5,45.3,2.18,0.4,78.3
POINT (-113.277361 52.453472),5755,4862,52.453472,-113.277361,1217033,577.0,6.0,0.005,0.01,7.84,703.0,934.0,0.28,242.0,1.5,0.418,2.43,242.0,64.4,257.0,3.4,19.6,19.0,0.02,98.0
POINT (-113.271981 52.464172),10196,9037,52.464172,-113.271981,1206493,319.0,5.0,0.05,2.0,8.03,389.0,439.0,0.13,395.0,27.3,0.066,0.048,55.8,109.0,12.3,3.95,29.8,0.5,2.0,101.0
POINT (-113.272024 52.464145),10197,9501,52.464145,-113.272024,1206497,791.0,29.0,0.05,0.05,8.56,906.0,851.0,1.48,10.3,13.3,0.0059,0.061,17.9,3.62,339.0,1.06,0.31,0.365,0.071,90.0
POINT (-113.267317 52.465665),9817,6972,52.465665,-113.267317,1206109,629.0,5.0,0.05,0.05,8.15,767.0,857.0,0.24,164.0,1.65,0.248,0.03,164.0,46.3,253.0,3.02,11.8,0.07,0.071,89.5
